,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
345,NGC3345,160.88343,11.985278,10.0,43.0,32.02320000000654,0.0,47.0,56.46672000000024,160.0,53.0,0.348000000014963,11.0,59.0,7.000799999997156
346,NGC3346,160.91221275,14.87178774,10.0,43.0,38.931060000009836,0.0,59.0,29.229057600000488,160.0,54.0,43.965900000032434,14.0,52.0,18.43586400000092
347,NGC3347,160.69375692,-36.35251679,10.0,42.0,46.50166080000943,-2.0,-25.0,-24.604029600001525,160.0,41.0,37.5249119999944,-36.0,-21.0,-9.06044400001008
348,NGC3348,161.79164167,72.839675,10.0,47.0,9.994000800003562,4.0,51.0,21.522000000004624,161.0,47.0,29.9100119999639,72.0,50.0,22.829999999999018
349,NGC3349,160.96057083,6.76296667,10.0,43.0,50.5369992000081,0.0,27.0,3.112000800000203,160.0,57.0,38.05498799998077,6.0,45.0,46.680011999999635
350,NGC3350,161.09577917,30.72470556,10.0,44.0,22.98700080000259,2.0,2.0,53.929334400001245,161.0,5.0,44.80501199994933,30.0,43.0,28.940016000001094
351,NGC3351,160.99055417,11.70361111,10.0,43.0,57.73300080000581,0.0,46.0,48.86666640000058,160.0,59.0,25.995011999984854,11.0,42.0,12.99999600000234
352,NGC3352,161.0621625,22.37096389,10.0,44.0,14.919000000008822,1.0,29.0,29.031333600000977,161.0,3.0,43.784999999998035,22.0,22.0,15.47000399999547
353,NGC3353,161.34329167,55.96037778,10.0,45.0,22.390000800010057,3.0,43.0,50.4906672000034,161.0,20.0,35.85001200004854,55.0,57.0,37.360008000006246
354,NGC3354,160.76226667,-36.36237778,10.0,43.0,2.9440008000069895,-2.0,-25.0,-26.97066720000194,160.0,45.0,44.16001200000892,-36.0,-21.0,-44.56000800000993
355,NGC3355,160.35791667,-23.38416667,10.0,41.0,25.90000080001232,-1.0,-33.0,-32.20000080000105,160.0,21.0,28.500012000031347,-23.0,-23.0,-3.000011999996559
356,NGC3356,161.05099583,6.75872778,10.0,44.0,12.238999200007186,0.0,27.0,2.094667200000444,161.0,3.0,3.5849880000182566,6.0,45.0,31.420008000000053
357,NGC3357,161.0865,14.08453889,10.0,44.0,20.76000000000832,0.0,56.0,20.289333600000248,161.0,5.0,11.400000000003274,14.0,5.0,4.340003999997322
358,NGC3358,160.88758951,-36.41071264,10.0,43.0,33.021482400008466,-2.0,-25.0,-38.57103360000124,160.0,53.0,15.3222359999927,-36.0,-24.0,-38.565503999999464
359,NGC3359,161.65352083,63.22363889,10.0,46.0,36.84499920000249,4.0,12.0,53.67333360000217,161.0,39.0,12.674987999967016,63.0,13.0,25.100003999987734
360,NGC3360,161.06730265,-11.24249604,10.0,44.0,16.152636000005174,-0.0,-44.0,-58.19904960000059,161.0,4.0,2.289539999956105,-11.0,-14.0,-32.985744000002484
361,NGC3361,161.12152936,-11.20799525,10.0,44.0,29.167046400013277,-0.0,-44.0,-49.918860000000365,161.0,7.0,17.50569600003928,-11.0,-12.0,-28.782899999999074
362,NGC3362,161.21554565,6.59685117,10.0,44.0,51.73095600000494,0.0,26.0,23.244280800000396,161.0,12.0,55.96433999998453,6.0,35.0,48.66421199999934
363,NGC3363,161.28929167,22.078475,10.0,45.0,9.430000800008287,1.0,28.0,18.83400000000151,161.0,17.0,21.45001200004117,22.0,4.0,42.51000000000346
364,NGC3364,162.12418384,72.42499566,10.0,48.0,29.804121600004834,4.0,49.0,41.998958400002664,162.0,7.0,27.06182400000216,72.0,25.0,29.98437599997601
365,NGC3365,161.55270417,1.81331944,10.0,46.0,12.649000800005581,0.0,7.0,15.196665600000081,161.0,33.0,9.735011999994185,1.0,48.0,47.949983999999404
366,NGC3366,158.78541667,-43.69222222,10.0,35.0,8.500000800005125,-2.0,-54.0,-46.1333328000012,158.0,47.0,7.500011999961771,-43.0,-41.0,-31.999991999992403
367,NGC3367,161.64564201,13.7508567,10.0,46.0,34.95408240000458,0.0,55.0,0.20560800000083646,161.0,38.0,44.31123599995999,13.0,45.0,3.084119999999757
368,NGC3368,161.6906,11.81993889,10.0,46.0,45.7440000000021,0.0,47.0,16.785333600000314,161.0,41.0,26.1599999999612,11.0,49.0,11.780003999998314
369,NGC3369,161.68603775,-25.2444802,10.0,46.0,44.64906000000909,-1.0,-40.0,-58.675248000002114,161.0,41.0,9.735899999989215,-25.0,-14.0,-40.128720000006126
370,NGC3370,161.76682917,17.27369722,10.0,47.0,4.039000800004118,1.0,9.0,5.687332800000924,161.0,46.0,0.585011999978633,17.0,16.0,25.30999199999627
371,NGC3371,162.07040417,12.6293,10.0,48.0,16.897000800004207,0.0,50.0,31.032000000001005,162.0,4.0,13.455011999960789,12.0,37.0,45.48000000000229
372,NGC3372,161.07916667,-59.88916667,10.0,44.0,19.000000800009644,-3.0,-59.0,-33.40000080000337,161.0,4.0,45.00001200002316,-59.0,-53.0,-21.000012000005768
373,NGC3373,162.1162855,12.53323609,10.0,48.0,27.90852000000939,0.0,50.0,7.976661600000625,162.0,6.0,58.62780000001294,12.0,31.0,59.64992400000298
374,NGC3374,162.00447083,43.18654722,10.0,48.0,1.0729992000091215,2.0,52.0,44.7713328000016,162.0,0.0,16.094988000008925,43.0,11.0,11.569992000004845
375,NGC3375,161.75330342,-9.94138092,10.0,47.0,0.7928208000119241,-0.0,-39.0,-45.931420800000495,161.0,45.0,11.89231200003178,-9.0,-56.0,-28.971312000001035
