,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
10,M11,282.77083333,-6.27,18.0,51.0,4.9999992000218185,-0.0,-25.0,-4.800000000000111,282.0,46.0,14.999988000058693,-6.0,-16.0,-11.999999999998465
11,M12,251.80908333,-1.94852778,16.0,47.0,14.179999200007671,-0.0,-7.0,-47.64666720000012,251.0,48.0,32.69998799997438,-1.0,-56.0,-54.700008000000366
12,M13,250.423475,36.46131944,16.0,41.0,41.63400000001701,2.0,25.0,50.71666560000139,250.0,25.0,24.509999999986576,36.0,27.0,40.7499839999889
13,M14,264.400625,-3.24591667,17.0,37.0,36.15000000001231,-0.0,-12.0,-59.02000080000015,264.0,24.0,2.249999999967258,-3.0,-14.0,-45.30001200000061
14,M15,322.49304167,12.167,21.0,29.0,58.3300008000171,0.0,48.0,40.08000000000038,322.0,29.0,34.95001200009028,12.0,10.0,1.199999999999335
15,M16,274.7,-13.80666667,18.0,18.0,48.00000000001006,-0.0,-55.0,-13.600000800000487,274.0,41.0,59.99999999995907,-13.0,-48.0,-24.000012000000908
16,M17,275.19583333,-16.17166667,18.0,20.0,46.9999992000254,-1.0,-4.0,-41.20000080000054,275.0,11.0,44.99998800009962,-16.0,-10.0,-18.000012000001675
17,M18,274.99166667,-17.10166667,18.0,19.0,58.000000800001885,-1.0,-8.0,-24.400000800000683,274.0,59.0,30.00001199990038,-17.0,-6.0,-6.000012000000652
18,M19,255.65704167,-26.26794444,17.0,2.0,37.69000080001234,-1.0,-45.0,-4.306665600001907,255.0,39.0,25.350012000044444,-26.0,-16.0,-4.599984000003019
19,M20,270.675,-22.97166667,18.0,2.0,42.00000000001893,-1.0,-31.0,-53.20000080000156,270.0,40.0,30.000000000040927,-22.0,-58.0,-18.000012000004233
20,M21,271.05416667,-22.49,18.0,4.0,13.000000800004443,-1.0,-29.0,-57.60000000000112,271.0,3.0,15.00001199990038,-22.0,-29.0,-23.999999999994373
21,M22,279.09975,-23.90475,18.0,36.0,23.940000000006876,-1.0,-35.0,-37.14000000000084,279.0,5.0,59.0999999998985,-23.0,-54.0,-17.099999999999795
22,M23,269.26666667,-18.985,17.0,57.0,4.000000800010923,-1.0,-15.0,-56.40000000000093,269.0,16.0,1.2000023161817808e-05,-18.0,-59.0,-5.999999999997954
23,M24,274.2,-18.55,18.0,16.0,48.00000000000409,-1.0,-14.0,-12.000000000001236,274.0,11.0,59.99999999995907,-18.0,-33.0,-2.5579538487363607e-12
24,M25,277.94583333,-19.11666667,18.0,31.0,46.99999920001346,-1.0,-16.0,-28.000000800001033,277.0,56.0,44.99998800009962,-19.0,-7.0,-1.2000002698187018e-05
25,M26,281.325,-9.38333333,18.0,45.0,18.00000000000921,-0.0,-37.0,-31.999999200000246,281.0,19.0,29.999999999959073,-9.0,-22.0,-59.9999879999973
26,M27,299.90151337,22.72119788,19.0,59.0,36.36320880000511,1.0,30.0,53.08749120000044,299.0,54.0,5.448131999910402,22.0,43.0,16.312367999993853
27,M28,276.13704167,-24.86983333,18.0,24.0,32.89000080000818,-1.0,-39.0,-28.759999200000976,276.0,8.0,13.350011999905291,-24.0,-52.0,-11.39998799999546
28,M29,305.98333333,38.52333333,20.0,23.0,55.99999920000698,2.0,34.0,5.599999200002088,305.0,58.0,59.99998799997684,38.0,31.0,23.999987999999348
29,M30,325.09216667,-23.17986111,21.0,40.0,22.120000800005357,-1.0,-32.0,-43.16666640000108,325.0,5.0,31.80001199993967,-23.0,-10.0,-47.499996000003364
30,M31,10.68470833,41.26875,0.0,42.0,44.32999920000029,2.0,45.0,4.500000000000597,10.0,41.0,4.949987999997916,41.0,16.0,7.499999999989768
